1694282489699[2023-09-09 19:01:29.699 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
1694282490165[2023-09-09 19:01:30.165 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
1694282507288[2023-09-09 19:01:47.288 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Incrementing workflow iteration...
1694282491030[2023-09-09 19:01:31.030 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
1694282509415[2023-09-09 19:01:49.415 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Incrementing workflow iteration...
1694282491411[2023-09-09 19:01:31.411 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
1694282511559[2023-09-09 19:01:51.559 | workflowName: LongRunningWorkflow | activityName: C | iteration: 2] - Incrementing workflow iteration...
1694282491805[2023-09-09 19:01:31.805 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
1694282513201[2023-09-09 19:01:53.201 | workflowName: LongRunningWorkflow | activityName: C | iteration: 3] - Incrementing workflow iteration...
1694282492197[2023-09-09 19:01:32.197 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Mapping task arguments...
1694282514337[2023-09-09 19:01:54.337 | workflowName: LongRunningWorkflow | activityName: C | iteration: 4] - Incrementing workflow iteration...
1694282492564[2023-09-09 19:01:32.564 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Mapping task arguments...
1694282517136[2023-09-09 19:01:57.136 | workflowName: LongRunningWorkflow | activityName: C | iteration: 5] - Incrementing workflow iteration...
1694282492947[2023-09-09 19:01:32.947 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Mapping task arguments...
1694282518643[2023-09-09 19:01:58.643 | workflowName: LongRunningWorkflow | activityName: C | iteration: 6] - Incrementing workflow iteration...
1694282493388[2023-09-09 19:01:33.388 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Mapping task arguments...
1694282519708[2023-09-09 19:01:59.708 | workflowName: LongRunningWorkflow | activityName: C | iteration: 7] - Incrementing workflow iteration...
1694282493970[2023-09-09 19:01:33.970 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Mapping task arguments...
1694282521093[2023-09-09 19:02:01.093 | workflowName: LongRunningWorkflow | activityName: C | iteration: 8] - Incrementing workflow iteration...
1694282494652[2023-09-09 19:01:34.652 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Mapping task arguments...
1694282521829[2023-09-09 19:02:01.829 | workflowName: LongRunningWorkflow | activityName: C | iteration: 9] - Incrementing workflow iteration...
1694282495675[2023-09-09 19:01:35.675 | workflowName: LongRunningWorkflow | activityName: A | iteration: 10] - Mapping task arguments...
1694282528238[2023-09-09 19:02:08.238 | workflowName: LongRunningWorkflow | activityName: C | iteration: 10] - Incrementing workflow iteration...
1694282496662[2023-09-09 19:01:36.662 | workflowName: LongRunningWorkflow | activityName: A | iteration: 11] - Mapping task arguments...
1694282529505[2023-09-09 19:02:09.505 | workflowName: LongRunningWorkflow | activityName: C | iteration: 11] - Incrementing workflow iteration...
1694282497516[2023-09-09 19:01:37.516 | workflowName: LongRunningWorkflow | activityName: A | iteration: 12] - Mapping task arguments...
1694282530063[2023-09-09 19:02:10.063 | workflowName: LongRunningWorkflow | activityName: C | iteration: 12] - Incrementing workflow iteration...
1694282498417[2023-09-09 19:01:38.417 | workflowName: LongRunningWorkflow | activityName: A | iteration: 13] - Mapping task arguments...
1694282530570[2023-09-09 19:02:10.570 | workflowName: LongRunningWorkflow | activityName: C | iteration: 13] - Incrementing workflow iteration...
1694282499420[2023-09-09 19:01:39.420 | workflowName: LongRunningWorkflow | activityName: A | iteration: 14] - Mapping task arguments...
1694282530905[2023-09-09 19:02:10.905 | workflowName: LongRunningWorkflow | activityName: C | iteration: 14] - Incrementing workflow iteration...
1694282500248[2023-09-09 19:01:40.248 | workflowName: LongRunningWorkflow | activityName: A | iteration: 15] - Mapping task arguments...
1694282538280[2023-09-09 19:02:18.280 | workflowName: LongRunningWorkflow | activityName: C | iteration: 15] - Incrementing workflow iteration...
1694282501075[2023-09-09 19:01:41.075 | workflowName: LongRunningWorkflow | activityName: A | iteration: 16] - Mapping task arguments...
1694282538824[2023-09-09 19:02:18.824 | workflowName: LongRunningWorkflow | activityName: C | iteration: 16] - Incrementing workflow iteration...
1694282501805[2023-09-09 19:01:41.805 | workflowName: LongRunningWorkflow | activityName: A | iteration: 17] - Mapping task arguments...
1694282539381[2023-09-09 19:02:19.381 | workflowName: LongRunningWorkflow | activityName: C | iteration: 17] - Incrementing workflow iteration...
1694282503295[2023-09-09 19:01:43.295 | workflowName: LongRunningWorkflow | activityName: A | iteration: 18] - Mapping task arguments...
1694282539830[2023-09-09 19:02:19.830 | workflowName: LongRunningWorkflow | activityName: C | iteration: 18] - Incrementing workflow iteration...
1694282504714[2023-09-09 19:01:44.714 | workflowName: LongRunningWorkflow | activityName: A | iteration: 19] - Mapping task arguments...
1694282540193[2023-09-09 19:02:20.193 | workflowName: LongRunningWorkflow | activityName: C | iteration: 19] - Finished Activity execution
