[2023-09-09 19:04:05.990 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:04:06.135 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 19:04:06.147 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 19:04:06.150 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 19:04:06.186 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 19:04:06.189 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:04:06.189 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 19:04:06.191 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:04:06.232 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 19:04:06.409 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 19:04:06.263 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Activity started
[2023-09-09 19:04:06.441 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Creating input ports...
[2023-09-09 19:04:06.553 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:04:06.564 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Waiting for tokens...
[2023-09-09 19:04:06.577 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:04:06.581 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 19:04:06.761 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 516ms
[2023-09-09 19:04:06.763 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 19:04:06.772 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 19:04:06.773 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 19:04:06.795 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:04:06.804 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:04:06.806 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-09 19:04:06.807 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-09 19:04:06.809 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:04:06.809 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-09 19:04:06.810 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:04:06.867 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token={content='A0', iteration=0}}]
[2023-09-09 19:04:06.869 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Mapping task arguments...
[2023-09-09 19:04:06.888 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
[2023-09-09 19:04:06.890 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-09 19:04:06.891 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Setup results file before task execution
[2023-09-09 19:04:06.893 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-09 19:04:07.194 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 382ms
[2023-09-09 19:04:07.195 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-09 19:04:07.196 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-09 19:04:07.197 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-09 19:04:07.199 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 19:04:07.200 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-09 19:04:07.201 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-09 19:04:07.203 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 19:04:07.203 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Setup results file before task execution
[2023-09-09 19:04:07.204 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 19:04:07.658 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 453ms
[2023-09-09 19:04:07.660 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Collecting task results...
[2023-09-09 19:04:07.662 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task results collected: [A2]
[2023-09-09 19:04:07.664 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Emit task results...
[2023-09-09 19:04:07.668 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Incrementing workflow iteration...
[2023-09-09 19:04:07.672 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
[2023-09-09 19:04:07.674 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":3}
[2023-09-09 19:04:07.675 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-09 19:04:07.676 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Setup results file before task execution
[2023-09-09 19:04:07.677 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-09 19:04:08.210 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task execution finished with a running time of: 531ms
[2023-09-09 19:04:08.212 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Collecting task results...
[2023-09-09 19:04:08.214 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task results collected: [A3]
[2023-09-09 19:04:08.215 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Emit task results...
[2023-09-09 19:04:08.221 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Incrementing workflow iteration...
[2023-09-09 19:04:08.221 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Mapping task arguments...
[2023-09-09 19:04:08.222 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":4}
[2023-09-09 19:04:08.223 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-09 19:04:08.223 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Setup results file before task execution
[2023-09-09 19:04:08.224 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-09 19:04:08.805 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task execution finished with a running time of: 579ms
[2023-09-09 19:04:08.806 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Collecting task results...
[2023-09-09 19:04:08.808 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task results collected: [A4]
[2023-09-09 19:04:08.808 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Emit task results...
[2023-09-09 19:04:08.810 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Incrementing workflow iteration...
[2023-09-09 19:04:08.810 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Mapping task arguments...
[2023-09-09 19:04:08.811 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":5}
[2023-09-09 19:04:08.819 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-09 19:04:08.820 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Setup results file before task execution
[2023-09-09 19:04:08.820 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-09 19:04:09.458 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task execution finished with a running time of: 637ms
[2023-09-09 19:04:09.460 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Collecting task results...
[2023-09-09 19:04:09.486 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task results collected: [A5]
[2023-09-09 19:04:09.486 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Emit task results...
[2023-09-09 19:04:09.489 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Incrementing workflow iteration...
[2023-09-09 19:04:09.489 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Mapping task arguments...
[2023-09-09 19:04:09.490 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":6}
[2023-09-09 19:04:09.492 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-09 19:04:09.493 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Setup results file before task execution
[2023-09-09 19:04:09.494 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-09 19:04:10.105 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task execution finished with a running time of: 610ms
[2023-09-09 19:04:10.106 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Collecting task results...
[2023-09-09 19:04:10.107 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task results collected: [A6]
[2023-09-09 19:04:10.108 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Emit task results...
[2023-09-09 19:04:10.110 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Incrementing workflow iteration...
[2023-09-09 19:04:10.111 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Mapping task arguments...
[2023-09-09 19:04:10.112 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":7}
[2023-09-09 19:04:10.113 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-09 19:04:10.114 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Setup results file before task execution
[2023-09-09 19:04:10.114 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-09 19:04:10.675 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task execution finished with a running time of: 560ms
[2023-09-09 19:04:10.679 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Collecting task results...
[2023-09-09 19:04:10.683 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task results collected: [A7]
[2023-09-09 19:04:10.683 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Emit task results...
[2023-09-09 19:04:10.686 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Incrementing workflow iteration...
[2023-09-09 19:04:10.687 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Mapping task arguments...
[2023-09-09 19:04:10.688 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":8}
[2023-09-09 19:04:10.689 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-09 19:04:10.690 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Setup results file before task execution
[2023-09-09 19:04:10.691 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-09 19:04:11.297 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task execution finished with a running time of: 604ms
[2023-09-09 19:04:11.299 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Collecting task results...
[2023-09-09 19:04:11.301 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task results collected: [A8]
[2023-09-09 19:04:11.302 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Emit task results...
[2023-09-09 19:04:11.309 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Incrementing workflow iteration...
[2023-09-09 19:04:11.313 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Mapping task arguments...
[2023-09-09 19:04:11.315 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":9}
[2023-09-09 19:04:11.318 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-09 19:04:11.318 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Setup results file before task execution
[2023-09-09 19:04:11.319 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-09 19:04:11.980 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task execution finished with a running time of: 659ms
[2023-09-09 19:04:11.981 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Collecting task results...
[2023-09-09 19:04:11.983 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task results collected: [A9]
[2023-09-09 19:04:11.984 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Emit task results...
