[2023-09-09 19:11:34.232 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Activity started
[2023-09-09 19:11:34.221 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:11:34.394 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Creating input ports...
[2023-09-09 19:11:34.400 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 19:11:34.423 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 19:11:34.426 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 19:11:34.498 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 19:11:34.501 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:11:34.507 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 19:11:34.521 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:11:34.337 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Activity started
[2023-09-09 19:11:34.564 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Creating input ports...
[2023-09-09 19:11:34.552 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:11:34.582 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Waiting for tokens...
[2023-09-09 19:11:34.436 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 19:11:34.648 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 19:11:34.697 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:11:34.707 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Waiting for tokens...
[2023-09-09 19:11:34.760 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:11:34.766 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 19:11:35.125 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 495ms
[2023-09-09 19:11:35.127 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 19:11:35.132 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 19:11:35.133 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 19:11:35.154 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:11:35.165 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:11:35.170 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-09 19:11:35.172 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-09 19:11:35.176 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:11:35.177 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-09 19:11:35.180 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:11:35.245 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token={content='A0', iteration=0}}]
[2023-09-09 19:11:35.247 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Mapping task arguments...
[2023-09-09 19:11:35.276 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
[2023-09-09 19:11:35.278 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Executing task
[2023-09-09 19:11:35.280 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Setup results file before task execution
[2023-09-09 19:11:35.283 | workflowName: LongRunningWorkflow | activityName: B_replica_1_of_2 | iteration: 0] - Executing task
[2023-09-09 19:11:35.547 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 367ms
[2023-09-09 19:11:35.548 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-09 19:11:35.550 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-09 19:11:35.550 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-09 19:11:35.553 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 19:11:35.553 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-09 19:11:35.556 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-09 19:11:35.558 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 19:11:35.559 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Setup results file before task execution
[2023-09-09 19:11:35.560 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 19:11:35.626 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Received tokens: [InputToken{portName='IPortB', token={content='A1', iteration=1}}]
[2023-09-09 19:11:35.629 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Mapping task arguments...
[2023-09-09 19:11:35.655 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["10","B"],"currentIteration":1}
[2023-09-09 19:11:35.657 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Executing task
[2023-09-09 19:11:35.657 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Setup results file before task execution
[2023-09-09 19:11:35.659 | workflowName: LongRunningWorkflow | activityName: B_replica_2_of_2 | iteration: 1] - Executing task
[2023-09-09 19:11:35.951 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 391ms
