[2023-09-09 18:37:59.416 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Activity started
[2023-09-09 18:37:59.539 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Creating input ports...
[2023-09-09 18:37:59.459 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 18:37:59.609 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 18:37:59.653 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:37:59.661 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Waiting for tokens...
[2023-09-09 18:37:59.580 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 18:37:59.711 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 18:37:59.714 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 18:37:59.716 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 18:37:59.726 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 18:37:59.729 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 18:37:59.754 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 18:37:59.756 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:37:59.757 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 18:37:59.759 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:38:00.114 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 325ms
[2023-09-09 18:38:00.117 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 18:38:00.124 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 18:38:00.126 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 18:38:00.143 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:38:00.154 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 18:38:00.156 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-09 18:38:00.158 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-09 18:38:00.160 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 18:38:00.161 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-09 18:38:00.162 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 18:38:00.195 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token={content='A0', iteration=0}}]
[2023-09-09 18:38:00.196 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Mapping task arguments...
[2023-09-09 18:38:00.217 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["0","B"],"currentIteration":0}
[2023-09-09 18:38:00.219 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-09 18:38:00.220 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Setup results file before task execution
[2023-09-09 18:38:00.225 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-09 18:38:00.524 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 361ms
[2023-09-09 18:38:00.525 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-09 18:38:00.527 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-09 18:38:00.528 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-09 18:38:00.531 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Finished Activity execution
[2023-09-09 18:38:00.705 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task execution finished with a running time of: 441ms
[2023-09-09 18:38:00.707 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Collecting task results...
[2023-09-09 18:38:00.723 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task results collected: [A0-B0]
[2023-09-09 18:38:00.726 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Emit task results...
[2023-09-09 18:38:00.730 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - created output ports [{name='OPortB', type='OUT', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 18:38:00.737 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 18:38:00.738 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Waiting for tokens...
[2023-09-09 18:38:00.741 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Received tokens: [InputToken{portName='IPortB', token={content='A1', iteration=1}}]
[2023-09-09 18:38:00.742 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Mapping task arguments...
[2023-09-09 18:38:00.743 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["0","B"],"currentIteration":1}
[2023-09-09 18:38:00.751 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 18:38:00.751 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Setup results file before task execution
[2023-09-09 18:38:00.753 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 18:38:00.798 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Received tokens: [InputToken{portName='IPortC', token={content='A0-B0', iteration=0}}]
[2023-09-09 18:38:00.799 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Mapping task arguments...
[2023-09-09 18:38:00.827 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0-B0"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":0}
[2023-09-09 18:38:00.831 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:38:00.831 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Setup results file before task execution
[2023-09-09 18:38:00.835 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 18:38:01.204 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task execution finished with a running time of: 451ms
[2023-09-09 18:38:01.205 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Collecting task results...
[2023-09-09 18:38:01.207 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task results collected: [A1-B1]
[2023-09-09 18:38:01.207 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Emit task results...
[2023-09-09 18:38:01.210 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Finished Activity execution
[2023-09-09 18:38:01.430 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task execution finished with a running time of: 528ms
[2023-09-09 18:38:01.432 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Collecting task results...
[2023-09-09 18:38:01.447 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task results collected: [A0-B0-C0]
[2023-09-09 18:38:01.448 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Emit task results...
[2023-09-09 18:38:01.449 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - created output ports []
[2023-09-09 18:38:01.451 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 18:38:01.452 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Waiting for tokens...
[2023-09-09 18:38:01.453 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Received tokens: [InputToken{portName='IPortC', token={content='A1-B1', iteration=1}}]
[2023-09-09 18:38:01.454 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Mapping task arguments...
[2023-09-09 18:38:01.455 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1-B1"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":1}
[2023-09-09 18:38:01.455 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Executing task
[2023-09-09 18:38:01.456 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Setup results file before task execution
[2023-09-09 18:38:01.457 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Executing task
[2023-09-09 18:38:01.766 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Task execution finished with a running time of: 308ms
[2023-09-09 18:38:01.767 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Collecting task results...
[2023-09-09 18:38:01.769 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Task results collected: [A1-B1-C1]
[2023-09-09 18:38:01.769 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Emit task results...
[2023-09-09 18:38:01.770 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Finished Activity execution
