[2023-09-09 18:40:37.901 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 18:40:38.067 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 18:40:38.092 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 18:40:38.096 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 18:40:38.139 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 18:40:38.144 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:40:38.146 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 18:40:38.153 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 18:40:38.119 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 18:40:38.241 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 18:40:38.159 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Activity started
[2023-09-09 18:40:38.282 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Creating input ports...
[2023-09-09 18:40:38.355 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 18:40:38.368 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 18:40:38.397 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 18:40:38.399 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Waiting for tokens...
[2023-09-09 18:40:38.694 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 451ms
[2023-09-09 18:40:38.696 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 18:40:38.703 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 18:40:38.704 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 18:40:38.726 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
