[2023-09-09 19:22:03.704 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-09 19:22:03.763 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-09 19:22:03.826 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:22:03.827 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-09 19:22:03.935 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-09 19:22:03.987 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-09 19:22:03.995 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-09 19:22:03.996 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-09 19:22:04.025 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-09 19:22:04.027 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:22:04.028 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-09 19:22:04.031 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-09 19:22:03.997 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Activity started
[2023-09-09 19:22:04.064 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Creating input ports...
[2023-09-09 19:22:04.116 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:22:04.117 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Waiting for tokens...
[2023-09-09 19:22:04.382 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 317ms
[2023-09-09 19:22:04.383 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-09 19:22:04.399 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-09 19:22:04.400 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-09 19:22:04.420 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='LongRunningWorkflowIPortBOPortA'}]
[2023-09-09 19:22:04.428 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:22:04.429 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-09 19:22:04.430 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-09 19:22:04.431 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:22:04.432 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-09 19:22:04.435 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-09 19:22:04.482 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token={content='A0', iteration=0}}]
[2023-09-09 19:22:04.484 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Mapping task arguments...
[2023-09-09 19:22:04.510 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
[2023-09-09 19:22:04.512 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-09 19:22:04.513 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Setup results file before task execution
[2023-09-09 19:22:04.517 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-09 19:22:04.692 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 255ms
[2023-09-09 19:22:04.693 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-09 19:22:04.694 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-09 19:22:04.694 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-09 19:22:04.696 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 19:22:04.697 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-09 19:22:04.697 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-09 19:22:04.698 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 19:22:04.698 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Setup results file before task execution
[2023-09-09 19:22:04.699 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-09 19:22:04.951 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 251ms
[2023-09-09 19:22:04.952 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Collecting task results...
[2023-09-09 19:22:04.954 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task results collected: [A2]
[2023-09-09 19:22:04.954 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Emit task results...
[2023-09-09 19:22:04.956 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Incrementing workflow iteration...
[2023-09-09 19:22:04.956 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
[2023-09-09 19:22:04.957 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":3}
[2023-09-09 19:22:04.958 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-09 19:22:04.958 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Setup results file before task execution
[2023-09-09 19:22:04.959 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-09 19:22:05.229 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task execution finished with a running time of: 270ms
[2023-09-09 19:22:05.230 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Collecting task results...
[2023-09-09 19:22:05.231 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task results collected: [A3]
[2023-09-09 19:22:05.231 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Emit task results...
[2023-09-09 19:22:05.233 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Incrementing workflow iteration...
[2023-09-09 19:22:05.233 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Mapping task arguments...
[2023-09-09 19:22:05.234 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":4}
[2023-09-09 19:22:05.235 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-09 19:22:05.235 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Setup results file before task execution
[2023-09-09 19:22:05.236 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Executing task
[2023-09-09 19:22:05.517 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task execution finished with a running time of: 281ms
[2023-09-09 19:22:05.519 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Collecting task results...
[2023-09-09 19:22:05.520 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Task results collected: [A4]
[2023-09-09 19:22:05.521 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Emit task results...
[2023-09-09 19:22:05.526 | workflowName: LongRunningWorkflow | activityName: A | iteration: 4] - Incrementing workflow iteration...
[2023-09-09 19:22:05.526 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Mapping task arguments...
[2023-09-09 19:22:05.527 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":5}
[2023-09-09 19:22:05.528 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-09 19:22:05.528 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Setup results file before task execution
[2023-09-09 19:22:05.529 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Executing task
[2023-09-09 19:22:05.787 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task execution finished with a running time of: 258ms
[2023-09-09 19:22:05.788 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Collecting task results...
[2023-09-09 19:22:05.795 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Task results collected: [A5]
[2023-09-09 19:22:05.796 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Emit task results...
[2023-09-09 19:22:05.798 | workflowName: LongRunningWorkflow | activityName: A | iteration: 5] - Incrementing workflow iteration...
[2023-09-09 19:22:05.799 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Mapping task arguments...
[2023-09-09 19:22:05.800 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":6}
[2023-09-09 19:22:05.801 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-09 19:22:05.802 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Setup results file before task execution
[2023-09-09 19:22:05.802 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Executing task
[2023-09-09 19:22:06.080 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task execution finished with a running time of: 277ms
[2023-09-09 19:22:06.081 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Collecting task results...
[2023-09-09 19:22:06.082 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Task results collected: [A6]
[2023-09-09 19:22:06.082 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Emit task results...
[2023-09-09 19:22:06.084 | workflowName: LongRunningWorkflow | activityName: A | iteration: 6] - Incrementing workflow iteration...
[2023-09-09 19:22:06.084 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Mapping task arguments...
[2023-09-09 19:22:06.085 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":7}
[2023-09-09 19:22:06.086 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-09 19:22:06.086 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Setup results file before task execution
[2023-09-09 19:22:06.087 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Executing task
[2023-09-09 19:22:06.354 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task execution finished with a running time of: 266ms
[2023-09-09 19:22:06.354 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Collecting task results...
[2023-09-09 19:22:06.355 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Task results collected: [A7]
[2023-09-09 19:22:06.356 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Emit task results...
[2023-09-09 19:22:06.357 | workflowName: LongRunningWorkflow | activityName: A | iteration: 7] - Incrementing workflow iteration...
[2023-09-09 19:22:06.358 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Mapping task arguments...
[2023-09-09 19:22:06.359 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":8}
[2023-09-09 19:22:06.359 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-09 19:22:06.360 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Setup results file before task execution
[2023-09-09 19:22:06.360 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Executing task
[2023-09-09 19:22:06.638 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task execution finished with a running time of: 277ms
[2023-09-09 19:22:06.640 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Collecting task results...
[2023-09-09 19:22:06.643 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Task results collected: [A8]
[2023-09-09 19:22:06.643 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Emit task results...
[2023-09-09 19:22:06.645 | workflowName: LongRunningWorkflow | activityName: A | iteration: 8] - Incrementing workflow iteration...
[2023-09-09 19:22:06.646 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Mapping task arguments...
[2023-09-09 19:22:06.647 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":9}
[2023-09-09 19:22:06.647 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-09 19:22:06.648 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Setup results file before task execution
[2023-09-09 19:22:06.648 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Executing task
[2023-09-09 19:22:06.919 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task execution finished with a running time of: 269ms
[2023-09-09 19:22:06.920 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Collecting task results...
[2023-09-09 19:22:06.921 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Task results collected: [A9]
[2023-09-09 19:22:06.921 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Emit task results...
[2023-09-09 19:22:06.923 | workflowName: LongRunningWorkflow | activityName: A | iteration: 9] - Finished Activity execution
[2023-09-09 19:22:14.901 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task execution finished with a running time of: 10349ms
[2023-09-09 19:22:14.903 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Collecting task results...
[2023-09-09 19:22:14.935 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task results collected: [A0-B0]
[2023-09-09 19:22:14.937 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Emit task results...
[2023-09-09 19:22:14.939 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - created output ports [{name='OPortB', type='OUT', channel='LongRunningWorkflowIPortCOPortB'}]
[2023-09-09 19:22:14.952 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:22:14.956 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Waiting for tokens...
[2023-09-09 19:22:14.958 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Received tokens: [InputToken{portName='IPortB', token={content='A1', iteration=1}}]
[2023-09-09 19:22:14.958 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Mapping task arguments...
[2023-09-09 19:22:14.960 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task will be executed with the following arguments: {"arguments":["A1"],"constants":["10","B"],"currentIteration":1}
[2023-09-09 19:22:14.962 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 19:22:14.962 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Setup results file before task execution
[2023-09-09 19:22:14.978 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Executing task
[2023-09-09 19:22:15.009 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Received tokens: [InputToken{portName='IPortC', token={content='A0-B0', iteration=0}}]
[2023-09-09 19:22:15.011 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Mapping task arguments...
[2023-09-09 19:22:15.038 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0-B0"],"constants":["0","C","LongRunningWorkflowResults.txt"],"currentIteration":0}
[2023-09-09 19:22:15.041 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 19:22:15.042 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Setup results file before task execution
[2023-09-09 19:22:15.047 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Executing task
[2023-09-09 19:22:15.453 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task execution finished with a running time of: 374ms
[2023-09-09 19:22:15.454 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Collecting task results...
[2023-09-09 19:22:15.471 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Task results collected: [A0-B0-C0]
[2023-09-09 19:22:15.472 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Emit task results...
[2023-09-09 19:22:15.474 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - created output ports []
[2023-09-09 19:22:15.475 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Incrementing workflow iteration...
[2023-09-09 19:22:15.477 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Waiting for tokens...
[2023-09-09 19:22:25.489 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task execution finished with a running time of: 10510ms
[2023-09-09 19:22:25.490 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Collecting task results...
[2023-09-09 19:22:25.492 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Task results collected: [A1-B1]
[2023-09-09 19:22:25.492 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Emit task results...
[2023-09-09 19:22:25.501 | workflowName: LongRunningWorkflow | activityName: B | iteration: 1] - Incrementing workflow iteration...
[2023-09-09 19:22:25.501 | workflowName: LongRunningWorkflow | activityName: B | iteration: 2] - Waiting for tokens...
[2023-09-09 19:22:25.502 | workflowName: LongRunningWorkflow | activityName: B | iteration: 2] - Received tokens: [InputToken{portName='IPortB', token={content='A2', iteration=2}}]
[2023-09-09 19:22:25.503 | workflowName: LongRunningWorkflow | activityName: B | iteration: 2] - Mapping task arguments...
[2023-09-09 19:22:25.505 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Received tokens: [InputToken{portName='IPortC', token={content='A1-B1', iteration=1}}]
[2023-09-09 19:22:25.506 | workflowName: LongRunningWorkflow | activityName: C | iteration: 1] - Mapping task arguments...
[2023-09-09 19:22:25.505 | workflowName: LongRunningWorkflow | activityName: B | iteration: 2] - Task will be executed with the following arguments: {"arguments":["A2"],"constants":["10","B"],"currentIteration":2}
[2023-09-09 19:22:25.506 | workflowName: LongRunningWorkflow | activityName: B | iteration: 2] - Executing task
[2023-09-09 19:22:25.507 | workflowName: LongRunningWorkflow | activityName: B | iteration: 2] - Setup results file before task execution
