[2023-09-06 15:28:15.321 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-06 15:28:15.356 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-06 15:28:15.362 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-06 15:28:15.363 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-06 15:28:15.379 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-06 15:28:15.380 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-06 15:28:15.380 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-06 15:28:15.382 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-06 15:28:15.616 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 210ms
[2023-09-06 15:28:15.618 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-06 15:28:15.627 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-06 15:28:15.627 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-06 15:28:15.594 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Activity started
[2023-09-06 15:28:15.629 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Creating input ports...
[2023-09-06 15:28:15.642 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='IPortBOPortA'}]
[2023-09-06 15:28:15.654 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-06 15:28:15.655 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-06 15:28:15.656 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
[2023-09-06 15:28:15.657 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-06 15:28:15.658 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Setup results file before task execution
[2023-09-06 15:28:15.663 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Executing task
[2023-09-06 15:28:15.684 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:28:15.685 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Waiting for tokens...
[2023-09-06 15:28:15.694 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Received tokens: [InputToken{portName='IPortB', token=isel.meic.tmf.token.Token@4facf68f}]
[2023-09-06 15:28:15.695 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Mapping task arguments...
[2023-09-06 15:28:15.712 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Task will be executed with the following arguments: {"arguments":["A0"],"constants":["10","B"],"currentIteration":0}
[2023-09-06 15:28:15.713 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-06 15:28:15.714 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Setup results file before task execution
[2023-09-06 15:28:15.715 | workflowName: LongRunningWorkflow | activityName: B | iteration: 0] - Executing task
[2023-09-06 15:28:15.798 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Activity started
[2023-09-06 15:28:15.835 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Creating input ports...
[2023-09-06 15:28:15.877 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task execution finished with a running time of: 213ms
[2023-09-06 15:28:15.878 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Collecting task results...
[2023-09-06 15:28:15.880 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task results collected: [A1]
[2023-09-06 15:28:15.880 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Emit task results...
[2023-09-06 15:28:15.883 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Created input ports: [{name='IPortC', type='IN', channel='IPortCOPortB'}]
[2023-09-06 15:28:15.884 | workflowName: LongRunningWorkflow | activityName: C | iteration: 0] - Waiting for tokens...
[2023-09-06 15:28:15.884 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Incrementing workflow iteration...
[2023-09-06 15:28:15.885 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Mapping task arguments...
[2023-09-06 15:28:15.886 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":2}
[2023-09-06 15:28:15.886 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-06 15:28:15.887 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Setup results file before task execution
[2023-09-06 15:28:15.888 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Executing task
[2023-09-06 15:28:16.084 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task execution finished with a running time of: 196ms
[2023-09-06 15:28:16.085 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Collecting task results...
[2023-09-06 15:28:16.087 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Task results collected: [A2]
[2023-09-06 15:28:16.087 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Emit task results...
[2023-09-06 15:28:16.090 | workflowName: LongRunningWorkflow | activityName: A | iteration: 2] - Incrementing workflow iteration...
[2023-09-06 15:28:16.091 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Mapping task arguments...
[2023-09-06 15:28:16.092 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":3}
[2023-09-06 15:28:16.092 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-06 15:28:16.092 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Setup results file before task execution
[2023-09-06 15:28:16.093 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Executing task
[2023-09-06 15:28:16.274 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task execution finished with a running time of: 181ms
[2023-09-06 15:28:16.275 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Collecting task results...
[2023-09-06 15:28:16.276 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Task results collected: [A3]
[2023-09-06 15:28:16.276 | workflowName: LongRunningWorkflow | activityName: A | iteration: 3] - Emit task results...
