[2023-09-06 15:31:30.252 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Activity started
[2023-09-06 15:31:30.282 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Creating input ports...
[2023-09-06 15:31:30.319 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Created input ports: [{name='IPortB', type='IN', channel='IPortBOPortA'}]
[2023-09-06 15:31:30.321 | workflowName: LongRunningWorkflow | activityName: B_replica_4_of_5 | iteration: 3] - Waiting for tokens...
[2023-09-06 15:31:30.317 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Activity started
[2023-09-06 15:31:30.345 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Creating input ports...
[2023-09-06 15:31:30.349 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - No input ports defined
[2023-09-06 15:31:30.350 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Mapping task arguments...
[2023-09-06 15:31:30.362 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":0}
[2023-09-06 15:31:30.363 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-06 15:31:30.363 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Setup results file before task execution
[2023-09-06 15:31:30.364 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Executing task
[2023-09-06 15:31:30.565 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task execution finished with a running time of: 184ms
[2023-09-06 15:31:30.566 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Collecting task results...
[2023-09-06 15:31:30.571 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Task results collected: [A0]
[2023-09-06 15:31:30.572 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Emit task results...
[2023-09-06 15:31:30.592 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - created output ports [{name='OPortA', type='OUT', channel='IPortBOPortA'}]
[2023-09-06 15:31:30.602 | workflowName: LongRunningWorkflow | activityName: A | iteration: 0] - Incrementing workflow iteration...
[2023-09-06 15:31:30.605 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Mapping task arguments...
[2023-09-06 15:31:30.606 | workflowName: LongRunningWorkflow | activityName: A | iteration: 1] - Task will be executed with the following arguments: {"arguments":[],"constants":["0","A"],"currentIteration":1}
